Date,BTC_Price,Volume,ETH_Price,LTC_Price,XRP_Price
2020-01-01,7200.17431640625,18565664997,130.802001953125,42.01771926879883,0.19266700744628906
2020-01-02,6985.47021484375,20802083465,127.4101791381836,39.82301330566406,0.1880429983139038
2020-01-03,7344.88427734375,28111481032,134.1717071533203,42.41557312011719,0.19352099299430847
2020-01-04,7410.65673828125,18444271275,135.06936645507812,43.32660675048828,0.19435499608516693
2020-01-05,7411.3173828125,19725074095,136.2767791748047,43.55320739746094,0.1955370008945465
2020-01-06,7769.21923828125,23276261598,144.3041534423828,45.81635284423828,0.22150999307632446
2020-01-07,8163.6923828125,28767291327,143.5439910888672,46.424583435058594,0.21391700208187103
2020-01-08,8079.86279296875,31672559265,141.2581329345703,45.65376663208008,0.20902599394321442
2020-01-09,7879.0712890625,24045990466,138.9792022705078,45.2159309387207,0.20489899814128876
2020-01-10,8166.55419921875,28714583844,143.96377563476562,48.72732925415039,0.21230599284172058
2020-01-11,8037.53759765625,25521165085,142.92710876464844,49.26376724243164,0.21185100078582764
2020-01-12,8192.494140625,22903438381,145.87393188476562,51.08073806762695,0.21563300490379333
2020-01-13,8144.1943359375,22482910688,144.22659301757812,49.733768463134766,0.21261699497699738
2020-01-14,8827.7646484375,44841784107,165.95535278320312,58.478233337402344,0.23468700051307678
2020-01-15,8807.0107421875,40102834650,166.23068237304688,58.05284881591797,0.23289500176906586
2020-01-16,8723.7861328125,31313981931,164.39100646972656,57.618255615234375,0.2285739928483963
2020-01-17,8929.0380859375,36372139320,170.7799530029297,61.487125396728516,0.23877599835395813
2020-01-18,8942.80859375,32337772627,175.3656768798828,59.40864562988281,0.24328599870204926
2020-01-19,8706.2451171875,34217320471,166.9698486328125,57.80069351196289,0.23558500409126282
2020-01-20,8657.642578125,26422375678,167.12051391601562,57.20326232910156,0.2332960069179535
2020-01-21,8745.89453125,24097418512,169.69715881347656,57.64788055419922,0.23716600239276886
2020-01-22,8680.8759765625,22600204051,168.29415893554688,58.3547248840332,0.23605599999427795
2020-01-23,8406.515625,25770680779,162.92855834960938,54.6302604675293,0.2261040061712265
