Year,Prime Rate,Fed Funds Rate,Money M1,Money M2,Gross domestic product,Personal consumption expenditur,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investme,Fixed investment,Nonresidential,Structures,Equipment and software,Residential,Exports,Goods_1,Services_1,Imports,Goods_2,Services_2,Government consumption expendit,Federal,National defense,Nondefense,State and local,Personal income,Less: Contributions for governm,Less: Personal current taxes,Equals: Disposable personal inc,Less: Personal outlays,Personal consumption expendit_1,Equals: Personal saving,"Population (midperiod, thousand"
1966-III ,5.876666667,5.41,171.0333333,472.9666667,3851.682774,2379.854845,811.6287306,141.9874313,751.0442774,1519.812304,471.3804714,445.4737159,247.5999427,252.8735632,101.3746024,230.1421254,134.743021,88.80633833,45.85653456,179.5365888,125.2648061,58.34305718,1156.050326,594.6383032,475.0699568,124.671916,553.0559978,2960.031082,154.9220533,329.7557185,2630.275363,2417.075421,2356.854937,213.1999417,196877
1966-IV ,6,5.563333333,171.5333333,477.7333333,3884.556133,2389.781022,809.8591549,141.9271597,748.8895346,1536.525555,474.7424156,431.7750753,247.0538123,244.1887767,102.875718,206.0837039,139.0300685,90.73326128,48.76236474,181.2829977,126.5129025,58.86720407,1175.008178,599.230005,486.7960547,118.1055864,567.2110982,2997.304063,155.0163682,339.8806085,2657.904872,2424.898902,2364.240324,233.0059696,197481
1967-I ,5.806666667,4.823333333,173.2333333,485.4666667,3917.792469,2403.570909,812.0835469,139.2861341,757.380725,1550.442251,460.6013109,421.7737456,241.8147405,247.0579066,98.97717465,199.3800197,141.821112,90.4310081,53.23088317,184.1379633,126.9884931,61.54331703,1225.060116,640.5074311,516.1743125,130.0612053,574.1562458,3032.959663,160.9657948,341.0941842,2692.344543,2435.086711,2373.287343,257.2578327,197967
1967-II ,5.5,3.99,175.6333333,497.1,3915.341396,2436.739424,826.1425376,145.3063135,762.8207786,1565.383392,438.8392224,432.3148933,240.8453475,239.5163166,100.1260711,221.8633715,140.3905115,90.29660898,51.87293426,182.7211394,123.3374753,64.1261498,1218.587313,631.1843157,516.7958656,121.2615869,577.5500699,3048.281116,164.7462146,337.5868965,2710.218074,2465.955623,2402.628321,244.2624512,198455
1967-III ,5.5,3.893333333,179.5,510.6,3949.230914,2448.803828,823.767511,144.1083417,762.2876836,1586.790427,453.374731,436.5500824,239.5376755,242.4942263,98.57314018,233.1750908,136.9818757,88.71669615,49.16465608,185.0030444,124.2579042,65.63402468,1231.023312,641.2362353,529.8591198,118.7029531,579.5864785,3084.835331,166.084741,348.211758,2736.623573,2477.116165,2414.834387,259.5074078,199012
1967-IV ,5.726666667,4.173333333,182.4333333,521.4,3979.744236,2464.180662,826.9001444,144.3877843,765.75108,1600.050041,463.4537592,450.4341534,244.4352274,242.9764617,101.827488,246.6429159,141.0487084,90.33448932,52.26166877,195.188167,135.7257879,63.44711866,1239.29219,640.3294146,524.0041481,122.6782848,589.8001557,3104.172501,168.0201624,354.2425091,2749.929992,2485.764958,2424.157566,264.1650331,199572
1968-I ,6,4.786666667,184.8333333,530.3333333,4062.240281,2522.416788,853.2073008,153.5133494,780.4937076,1625.664483,474.0024184,461.3015293,252.2576926,247.8472482,105.5901736,248.5350576,145.1309368,93.52818372,52.85365312,206.4540128,146.6892108,64.10924633,1260.732596,651.0940272,537.1449381,121.3103757,600.3704413,3159.571521,173.6079047,362.9143965,2797.118848,2543.632838,2480.838489,253.4860098,199995
1968-II ,6.4,5.98,188,539.0666667,4128.310502,2561.111627,866.0664735,156.7333082,790.3464259,1651.090343,490.995001,458.6732884,247.9001876,245.5076536,103.3057851,254.9386012,148.138888,94.7494163,55.10734912,209.5158983,150.5737222,63.63166063,1266.780571,646.0280374,536.7638239,116.3431848,612.1032372,3213.69863,175.3424658,373.0593607,2840.639269,2580.365297,2516.438356,260.2739726,200452
1968-III ,6.483333333,5.943333333,191.6666667,549.5333333,4157.659084,2609.355595,887.1780772,163.6676518,802.6279337,1672.000483,475.7526223,465.477114,251.2264812,243.5446009,105.7817963,259.5409661,156.5960139,101.2224127,56.54918464,221.9868282,160.6899682,65.56705256,1269.182163,640.5918449,525.9128386,121.1727794,620.5041596,3263.986251,176.8350595,415.6302293,2848.356022,2631.269504,2565.691285,217.086518,200997
1968-IV ,6.366666667,5.916666667,195.8,562.2666667,4176.108484,2621.235556,885.6088561,162.7462974,802.9768899,1690.72903,481.3975197,476.9294434,258.5131513,248.9982828,109.4252552,262.5160462,154.5420279,98.66974494,57.74574505,220.4133894,158.0298051,66.84014491,1270.875281,636.8418076,521.3600697,121.8214704,626.3048017,3287.090731,177.0898385,427.7812472,2859.309483,2636.720492,2570.256044,222.588991,201538
