Year,Prime Rate,Fed Funds Rate,Money M1,Money M2,Gross domestic product,Personal consumption expenditur,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investme,Fixed investment,Nonresidential,Structures,Equipment and software,Residential,Exports,Goods_1,Services_1,Imports,Goods_2,Services_2,Government consumption expendit,Federal,National defense,Nondefense,State and local,Personal income,Less: Contributions for governm,Less: Personal current taxes,Equals: Disposable personal inc,Less: Personal outlays,Personal consumption expendit_1,Equals: Personal saving,"Population (midperiod, thousand"
1978-II ,8.3,7.283333333,343.9,1309.8,5679.934079,3693.362532,1198.114918,271.7616743,988.5103451,2478.842747,776.6762797,747.8251274,408.7798809,298.0493118,201.590591,409.5969892,290.7830215,195.0809165,95.25166869,359.739499,281.0097736,80.42191676,1308.142072,518.3987725,354.5011232,165.3761062,794.1490172,4522.323212,324.8601678,556.3324011,3965.741111,3629.145026,3537.504994,336.8457851,222281
1978-III ,9.14,8.1,349.8,1334.2,5731.81807,3708.817954,1199.172493,268.0471031,996.1300479,2496.699617,798.0764131,769.4389808,423.5348986,317.6444058,205.8429376,415.2016388,293.9323633,196.2872394,97.90438006,364.5268438,284.3151239,82.14261062,1318.747491,520.1124567,355.6299074,166.2467134,802.7378343,4578.679954,325.9615621,579.269041,3999.16546,3647.185882,3553.422842,352.2250313,222933
1978-IV ,10.81,9.583333333,355.3333333,1359.133333,5811.743764,3738.811224,1212.742829,270.2439855,1009.050066,2509.703683,819.1410108,786.0238832,437.4991044,330.8558347,211.7175827,414.0478389,305.572912,204.1643447,101.620876,369.4019286,287.9850397,83.67351542,1330.612245,524.8451298,357.0112158,169.3649481,810.2345416,4618.844868,327.151139,594.164201,4024.921219,3671.790431,3577.012821,353.1307883,223583
1979-I ,11.75,10.07333333,360.3333333,1379.066667,5818.727264,3757.836023,1211.867018,267.1212393,1013.425907,2535.241948,816.711087,792.3004955,447.1436386,329.2042958,219.4223646,404.6040139,305.9381187,204.3688429,101.8455229,368.3459695,287.3717891,82.91617968,1318.760178,525.4404657,358.7827847,168.1667456,796.8415572,4669.296547,351.4905277,598.5732508,4070.723296,3691.595408,3596.636273,379.1278877,224152
1979-II ,11.71666667,10.18,370.3333333,1411.766667,5826.030809,3755.706117,1201.72388,261.0913879,1011.529126,2550.958505,816.1440916,786.3669375,445.8013172,333.9155146,216.8090935,397.119051,306.7501701,205.8606428,100.3686104,370.4098735,289.1999887,83.0511723,1332.737999,532.1626949,366.1525891,167.5020126,804.318336,4657.550042,347.9845033,603.7265935,4053.823448,3700.073794,3604.833502,353.7496541,224737
1979-III ,12.11666667,10.94666667,378.4333333,1445.166667,5873.700859,3792.877072,1221.759087,268.3573139,1023.27495,2561.261074,804.2319496,800.7055837,459.8766676,349.7286588,221.824291,392.6773205,317.9147614,215.4777187,99.82713915,364.8351648,284.3875436,82.47968556,1334.666596,531.1621839,365.0036226,167.6548763,807.4211706,4713.962946,348.3958427,620.4247628,4093.538183,3751.694532,3654.993222,341.8436512,225418
1979-IV ,15.08,13.57666667,381.1333333,1466.666667,5891.970932,3803.026487,1216.59278,261.4394009,1028.898426,2583.408085,790.6733783,793.4712346,461.116387,360.7276408,218.9051774,377.7718408,338.0322976,231.9803031,101.0629394,373.0350826,291.7570366,82.76077452,1343.611772,531.0587442,367.1441941,165.5832209,816.6215963,4775.345622,348.0591989,631.4250266,4143.920596,3779.244949,3680.432471,364.6756469,226117
1980-I ,16.39666667,15.04666667,388.1,1492.366667,5905.77982,3796.567974,1210.601938,257.4312334,1028.43393,2586.255576,781.5352248,782.3408624,466.2476933,366.4805704,220.8451574,348.8493179,347.518832,239.3827486,102.3167582,373.5346468,292.4944812,82.45406921,1365.248227,548.0489363,377.9138215,171.8810351,820.7225275,4804.231887,353.59667,616.1384035,4188.093483,3811.733079,3702.90075,376.3604041,226754
1980-II ,16.32333333,12.68666667,385.9,1514.566667,5785.053864,3710.293352,1160.739602,229.6073162,1014.666858,2568.610162,710.939153,714.3187958,442.5917284,358.371482,205.9117198,284.0937993,354.1834246,243.8043041,104.6152636,346.6085432,269.2132689,79.94344137,1369.599611,562.0056432,378.700941,184.8643774,810.174043,4756.340657,346.0853338,618.1609975,4138.179659,3732.504877,3626.261769,405.6747816,227389
1980-III ,11.61,9.836666667,399.3333333,1560.333333,5774.589484,3750.185527,1172.779923,239.8612338,1012.220388,2597.238638,656.6576348,721.2802611,445.9896747,360.1739868,207.8413284,289.1668117,353.5108959,239.5835533,111.2265712,321.714582,246.787337,79.33994793,1350.804532,554.3923532,379.3602678,176.402141,798.9150536,4808.011279,345.4138331,625.1036656,4182.907613,3770.11113,3667.067507,412.7964837,228070
1980-IV ,16.73333333,15.85333333,409.4,1593.466667,5878.687665,3800.28141,1186.056845,247.1202436,1016.241299,2636.033541,721.6360369,749.855797,455.1558927,370.5989764,211.1580958,317.4217973,351.3429107,238.5584631,109.6854305,338.8678732,260.6887562,82.30596195,1349.45792,556.0609999,384.3339789,173.2091373,795.2004232,4896.452985,346.4338287,641.6486863,4254.804299,3808.553971,3703.494586,446.2503277,228689
1981-I ,19.21333333,16.57,415.0333333,1620.733333,5995.598695,3816.784655,1203.054845,254.1427332,1024.956181,2625.915751,792.6743433,755.2822226,462.3835513,369.8954429,216.6992161,311.8172319,358.0343854,240.6669515,116.2022249,353.0373135,271.5277708,85.85105276,1367.170868,567.6009542,391.5834976,177.5546573,801.1751813,4887.806028,376.4687389,648.9959524,4239.006563,3829.528039,3718.316501,409.2820372,229155
1981-II ,18.93,17.78,425.7666667,1664.566667,5954.017219,3816.77875,1193.374135,244.2684621,1029.455519,2643.428828,759.1068036,760.1729651,471.5389295,383.6896165,218.7122419,301.3794716,359.8473799,240.2628992,119.7259286,353.4538589,271.5176217,86.53531227,1370.019811,584.6321663,403.4642128,182.737839,785.7926495,4894.98475,374.6959577,660.3992124,4234.585537,3828.23057,3714.142311,406.354967,229674
1981-III ,20.32333333,17.57666667,426.9333333,1694.066667,6022.292148,3832.145994,1205.434099,251.7011561,1031.734317,2641.288433,803.0888031,760.2055658,483.0471208,393.2883728,223.847652,277.976589,352.1873362,233.0510583,121.1109533,349.2893613,268.831075,84.66878053,1366.948729,583.8901108,406.9372724,178.3847221,783.1366088,4995.450582,374.7583122,675.3990219,4320.241119,3840.277515,3721.803086,479.9636047,230301
1981-IV ,17.01333333,13.58666667,432.1333333,1737.8,5952.04382,3803.060597,1183.741029,233.5743384,1035.729997,2643.255002,774.9647259,757.4604555,494.7847609,422.5604699,221.9084296,249.368615,353.8415087,236.8324162,116.7390087,359.2437211,277.5454574,85.38787357,1379.500914,590.0290902,414.2411539,177.1193279,789.2687918,4975.220777,371.5020308,655.8110072,4319.40977,3807.057421,3685.583336,512.3523494,230903
1982-I ,16.27,14.22666667,442.4333333,1777.133333,5851.36873,3828.058251,1195.666838,241.0204241,1037.754208,2653.343979,692.2530767,734.6730839,483.2835365,409.4260137,218.0359768,234.9828471,338.4704185,222.9204663,118.0109199,349.1454679,267.1811148,87.20490633,1377.98983,591.1222814,419.0185011,173.2759149,786.9246748,4964.725335,380.6724233,646.5184641,4318.206871,3830.424398,3704.207239,487.9661951,231395
1982-II ,16.5,14.51333333,447.1,1815.1,5881.317485,3841.683593,1195.277583,241.8759949,1035.875312,2670.567556,690.4446005,709.0600647,466.08478,396.497784,209.7320371,227.348048,340.4614194,225.4521513,116.7744454,343.4417665,259.7210482,90.80222832,1386.161083,596.4109782,430.6460658,166.6194848,789.4113849,4987.750658,378.1870974,651.6650032,4336.085655,3837.764268,3706.923147,498.3213864,231906
1982-III ,14.71666667,11.00666667,452.1,1848.2,5860.748165,3870.949824,1201.630956,243.8175189,1040.28565,2695.857237,683.9586028,689.3051583,450.4107824,374.6073015,205.9022528,226.7548856,325.3621924,214.1006961,113.7047689,359.4380077,274.7393608,90.305583,1395.637994,605.3850776,438.133952,168.1009408,789.4513695,4988.544836,375.5145874,625.5593342,4362.985502,3875.962055,3742.079828,487.0234473,232498
1982-IV ,11.95666667,9.286666667,470.2666667,1890.1,5866.673751,3941.402674,1225.828775,254.9662488,1050.904959,2740.851215,624.2244054,688.1844987,441.3343064,366.2676823,202.1529707,243.1418727,310.5321067,202.0863162,112.2105647,345.3565991,260.2202444,92.81629673,1419.617927,623.284538,450.671756,173.5328144,794.8004103,5010.714981,372.2791917,630.3242832,4380.390698,3949.311939,3812.053911,431.0787595,233074
1983-I ,10.88,8.653333333,484.0333333,1993.266667,5937.203667,3979.884536,1232.151174,257.4881262,1054.32079,2776.851892,644.6420458,703.2138606,433.0806579,351.1801957,201.4406462,284.7284012,315.5232301,205.0930941,114.3940384,353.2507925,267.9913359,91.80864778,1430.453266,630.8048069,453.537328,178.5192259,797.8469148,5030.379658,387.0333298,615.1441717,4415.235486,3990.271485,3849.611913,424.964001,233546
1983-II ,10.5,8.803333333,499.0666667,2044.133333,6070.569366,4059.003418,1268.398097,276.2752449,1066.628629,2812.391304,707.3803964,730.2691863,438.3922354,334.3920551,211.8427983,318.2300349,316.4777478,206.4962835,113.4772557,380.4055266,290.3546569,96.23263193,1442.790992,644.3896099,463.8800291,181.3516823,795.8050586,5081.587113,389.8050975,625.8498658,4455.737248,4078.135351,3933.614588,377.7762282,234028
1983-III ,10.79666667,9.46,510.3666667,2076.2,6190.311837,4130.639348,1296.60407,286.9124651,1082.866671,2852.718807,755.3510022,773.8752277,458.1494911,342.0527649,224.0999882,349.8567397,321.3027661,210.0380783,114.5631068,410.0102682,315.2462758,100.0940013,1467.783707,662.3891653,467.1824677,196.631929,802.1662561,5131.240616,392.0824201,595.1990612,4536.041555,4163.459713,4014.875662,372.7544135,234603
1983-IV ,11,9.43,519.2,2113.933333,6318.918548,4196.415973,1327.183883,301.0730383,1096.125397,2882.025916,835.7792301,819.2105403,487.8102134,351.5467158,243.3751157,364.7234679,327.8051012,218.2279848,110.5213761,430.1850517,332.8593014,101.7315263,1442.951056,639.2114401,479.2096727,159.9192641,801.6060368,5235.411027,398.5196861,608.4021519,4627.008875,4227.632526,4076.345818,399.3763492,235153
1984-I ,11.07,9.686666667,528,2159.466667,6443.282395,4232.541095,1345.266487,312.393952,1099.063501,2896.203377,923.9321469,844.799448,503.6782415,371.5413247,248.0843639,374.8593747,334.7041353,217.2658147,121.8756118,464.8432352,357.3486393,113.6146814,1457.308386,644.6634003,480.7287279,163.8336695,810.6174998,5331.099491,424.7685773,610.4144455,4720.685045,4256.485759,4104.685993,464.1992858,235605
1984-II ,12.30666667,10.55666667,537.3,2205.9,6551.55642,4293.145761,1375.261838,319.7429316,1123.099406,2920.615992,952.0787463,879.5012021,528.6247463,390.2590628,260.3384569,381.999284,343.0192963,222.404864,125.3128785,484.3148702,371.890821,119.0620824,1488.797336,664.8174819,485.794763,179.7124601,821.0716815,5425.835234,429.0218704,620.3877633,4805.279753,4321.749631,4166.275325,483.5301221,236082
1984-III ,12.99,11.39,541.6666667,2234.933333,6614.429971,4326.530612,1376.151524,319.8601255,1123.96848,2958.650818,973.0741913,898.2091125,545.9898588,402.5320923,269.0931847,378.3501929,350.5452544,229.9105121,123.9967319,496.8281115,379.7298656,124.926066,1499.673416,662.2306158,483.8793237,179.1466516,835.5274706,5516.461213,432.3667881,638.1527507,4878.308463,4356.107867,4196.902397,522.2005956,236657
1984-IV ,11.80333333,9.266666667,547.6,2284.5,6671.517878,4383.542966,1397.682106,330.1913206,1132.577046,2992.38456,959.5822858,914.3915219,559.162509,406.7447266,277.707179,378.7957194,357.6975682,237.2109248,122.2999984,511.328053,389.4388694,130.5502151,1531.852512,684.3383673,504.5159956,180.0198565,844.7625496,5580.326134,435.1205636,653.9212119,4926.404922,4416.20084,4253.630139,510.2040816,237232
1985-I ,10.53666667,8.476666667,562.4,2353.266667,6732.181108,4457.823198,1419.241043,341.7057431,1139.454216,3046.623475,926.2475397,921.4815979,565.7301234,424.1290014,276.0866247,377.494491,357.9004113,235.2144234,125.6503232,499.8301609,377.2097606,133.2937839,1549.370614,691.5364968,507.9289376,184.0072275,855.0796622,5616.527953,450.3163988,706.0516376,4910.476315,4490.246415,4322.317969,420.2299001,237673
1985-II ,10.19666667,7.923333333,575.9333333,2395.033333,6792.959282,4498.493472,1432.169113,345.8210587,1148.366232,3074.408805,945.1035334,933.124142,573.7704918,423.8042511,282.4863545,380.3789404,356.5672607,234.5053354,124.9529072,524.3511374,399.3552801,133.8608281,1584.266793,708.4752833,522.6391569,186.097628,872.6535715,5650.794684,453.5472011,631.3546225,5019.60274,4547.184851,4371.817605,472.2552098,238176
1985-III ,9.5,7.9,596.2,2445.766667,6894.580898,4584.074918,1470.349,367.937047,1157.780958,3115.792345,931.3643874,925.5666801,565.0903582,415.1277565,279.0017168,385.3533086,351.4152906,231.6264996,122.3997871,519.2949023,397.9802938,128.7726358,1625.420493,732.3399366,543.6826808,188.6965788,889.5907356,5678.156825,457.8793129,681.799783,4996.518951,4639.671,4462.056571,356.847951,238789
1985-IV ,9.5,8.103333333,613.2666667,2481.8,6949.728042,4593.943395,1461.667698,355.2322245,1168.056311,3140.760765,970.0533262,943.1472738,574.7770262,420.4784607,284.5398339,394.4554296,361.9737093,238.5472643,126.1420025,539.7329005,416.9587753,128.9271901,1635.141951,731.9427685,546.2675949,185.6865132,899.8770354,5746.516044,464.0983554,689.3888192,5057.127225,4660.455087,4479.579029,396.672138,239387
1986-I ,9.366666667,7.826666667,626.7,2518.566667,7016.667467,4632.248128,1483.955186,362.3711436,1183.05198,3151.74579,968.2571878,944.4895121,566.887816,409.9657827,282.4597148,411.3084913,373.4514334,239.166983,140.0474478,539.3462544,413.9183966,132.9990721,1652.785523,728.0488016,542.0128013,186.1490638,922.4408062,5809.757113,476.9681541,681.5889332,5128.16818,4709.800343,4526.634324,418.3678371,239861
1986-II ,8.61,6.92,651.2,2585.366667,7046.790613,4681.763849,1510.28542,375.1704064,1193.623639,3169.442092,948.458283,942.200299,552.6897568,371.2765957,286.5377386,434.0528052,377.489968,243.7238379,138.8127854,562.4097484,440.1711978,126.9795288,1687.985504,751.3481748,562.3484409,188.7704845,933.7243835,5847.15385,479.0581338,683.1397664,5164.014083,4738.804187,4555.114786,425.0505823,240368
1986-III ,7.853333333,6.206666667,678.8,2650.233333,7110.425077,4763.576665,1557.057115,407.1435096,1195.979276,3195.249725,915.2817693,936.8705104,544.6599985,357.9750053,285.3875603,440.8180772,386.132047,247.592999,144.3678438,577.9125206,449.4004796,134.5084961,1726.082147,779.7698135,584.2194194,195.2818758,942.6027172,5891.395551,483.0206602,694.8468297,5196.548722,4822.924088,4639.594712,373.6246339,240962
1986-IV ,7.5,6.266666667,708.3333333,2709.2,7141.083273,4792.480232,1556.031679,400.6721773,1205.751699,3229.903092,913.5324827,943.135059,550.2417601,360.1306501,288.9930206,439.9691655,400.3968112,257.5749304,148.5690299,582.2564612,452.2292241,136.2565797,1716.196137,767.6016323,567.8932388,199.7516409,945.3077117,5916.035334,487.4100154,715.7901355,5200.245198,4851.938009,4668.039357,348.3071893,241539
1987-I ,7.5,6.22,731.5666667,2751.8,7191.135648,4791.58029,1524.180811,376.9658974,1207.303779,3275.233893,945.0394693,924.4509113,535.0167853,351.6126993,280.4571146,438.8206576,400.666389,254.7486762,152.6387252,578.6235132,444.7413193,141.4874653,1723.297139,772.3222684,576.2270406,195.7424256,947.7987646,5962.384205,493.5903434,702.0991235,5260.285082,4864.944949,4686.067184,395.3401329,242009
1987-II ,8.046666667,6.65,744.3,2775.366667,7268.229894,4855.760871,1553.29924,392.4460174,1216.491449,3306.513132,946.6492366,940.9450792,547.8901682,355.7942435,288.9014122,440.8146269,416.4760262,265.568939,157.7572646,592.8802436,453.6130484,148.2529039,1734.233056,782.9412367,590.0836219,192.4194145,947.6997065,6012.530629,496.572687,792.6242983,5219.90633,4941.068825,4763.965138,278.682423,242520
1987-III ,8.4,6.843333333,745.1666667,2792.566667,7331.127866,4910.038175,1576.609281,408.6504331,1217.493213,3334.829766,947.4267422,960.9973865,565.4346077,370.5790297,296.8912564,439.5150696,434.4014122,281.4710645,158.3346847,604.4071599,464.4265518,148.1214439,1734.279042,783.763084,598.8609173,184.1339921,946.9233726,6077.704262,499.3075858,751.5002308,5326.204031,5006.308663,4828.896753,319.8953685,243120
1987-IV ,8.866666667,6.916666667,753.2,2824.433333,7460.125886,4921.821679,1562.496175,397.6243294,1218.911707,3368.746447,1024.230421,960.8324651,564.1257206,377.5417424,292.989735,441.7618392,450.4173085,295.0160018,159.7298686,618.3704931,472.688395,155.0773056,1755.314564,795.5415639,598.0195347,197.1147976,956.1019657,6183.390369,505.9887558,773.6494745,5409.58812,5023.680029,4847.531166,385.9080909,243721
1988-I ,8.586666667,6.663333333,758.5666667,2874.066667,7499.924222,5003.844971,1599.413418,416.4674635,1232.017164,3409.302081,967.7615055,959.5692633,568.5082643,363.370023,302.1212594,432.105593,475.5031765,313.1328707,166.1968951,615.6341815,471.3355397,153.3403033,1746.777888,773.7975109,591.5539977,181.5371404,969.7409076,6239.732048,533.630384,759.4495468,5480.434058,5108.666,4930.890243,371.768058,244208
1988-II ,8.78,7.156666667,772.7,2929.6,7594.493981,5040.163086,1607.833158,416.6373177,1241.725467,3438.765971,989.8409787,978.2768058,582.4166718,371.0717164,310.0660797,435.5372052,488.6167548,321.8119193,170.7030058,608.6782064,466.7406694,150.5608542,1751.322393,766.0597159,586.5773592,178.7534833,982.2880123,6284.787895,539.0435018,745.7443934,5539.043502,5151.460566,4973.130385,387.432826,244716
1988-III ,9.71,7.983333333,782.8,2957.633333,7629.3615,5079.947103,1607.517409,411.2463282,1250.376922,3484.322939,992.8097345,982.0614168,585.5042559,366.0701817,314.4705593,435.7535813,497.8171701,326.8411922,175.263257,623.041724,478.326335,153.2850016,1750.278519,760.2046769,580.842785,178.6774812,987.2346212,6334.411346,540.5886542,750.2076905,5584.352006,5192.855447,5014.835034,391.4965583,245354
1988-IV ,10.18333333,8.47,784.9666667,2983.6,7727.513539,5139.833599,1632.995431,421.9240849,1263.345449,3516.052721,1002.928083,991.8938126,591.6307391,364.9606222,319.7910244,439.63951,513.0521978,342.1367953,173.0472746,642.0633678,494.1878797,156.1468771,1785.858179,783.0654411,593.0918559,189.4216847,999.7638486,6403.196374,544.9434895,759.6538733,5643.542501,5262.243937,5081.969626,381.4457264,245966
1989-I ,10.97666667,9.443333333,784.1666667,3000,7806.792695,5158.685805,1635.214202,419.9692621,1269.053378,3534.347579,1046.953638,1001.845726,601.6605955,370.8777767,325.3283241,436.8559233,528.1997555,348.0410429,184.2949861,645.0547999,495.6654978,158.0320311,1774.856612,767.0305962,573.9260172,192.75418,1004.996574,6519.617838,553.1443885,802.918645,5716.844834,5293.175264,5108.648161,423.6695698,246460
1989-II ,11.35666667,9.726666667,775.9,3020.633333,7864.332478,5181.948819,1644.430044,425.5814756,1270.978614,3547.620227,1033.845429,1003.192681,610.2234478,366.7524228,333.8812992,423.8648997,551.1845346,367.9993716,185.5127425,648.0544218,497.687533,159.1717596,1802.380129,784.2945585,586.0740645,197.8670824,1015.104141,6526.548034,552.0145358,814.7549967,5711.648833,5335.996308,5148.097944,375.652525,247017
1989-III ,10.66,9.083333333,779.4,3078.9,7924.974218,5235.819775,1668.112773,435.2130013,1283.851417,3575.075272,1020.137847,1020.773766,627.6872767,379.4698555,342.5083366,419.2901615,557.328508,369.2832494,191.4860616,647.1545796,494.5868946,162.51272,1819.23769,791.8643629,593.1848896,198.2694685,1024.545021,6557.522631,553.4547955,816.2885298,5741.234101,5385.871433,5194.797754,355.3626676,247698
1989-IV ,10.5,8.613333333,789.1333333,3139.3,7944.801867,5261.537139,1662.711122,422.0361378,1298.384015,3611.997344,1011.723535,1003.906573,618.4780098,377.3261462,336.1249889,410.4751582,565.9567915,374.9263627,194.7142977,659.0137928,504.9201318,163.49223,1828.974759,787.8571776,587.3423445,200.160259,1038.194501,6617.655432,557.6747893,822.9902072,5794.665224,5424.163061,5228.734912,370.6445001,248374
1990-I ,10.03666667,8.25,798.3666667,3184.2,8027.253934,5303.205599,1685.220382,439.8586717,1296.841096,3627.759748,1020.98827,1016.561227,626.7746451,385.5162253,339.1421557,414.7377547,590.6653775,391.808819,202.3527467,680.0108489,520.0680653,170.2277015,1857.206976,799.7572622,588.4686171,210.919727,1054.487745,6672.151204,568.2824959,816.3523605,5855.798844,5480.881464,5285.828798,374.9173804,248936
1990-II ,10,8.243333333,806.4333333,3210.633333,8059.108096,5320.770519,1667.248977,425.3067773,1298.345467,3672.923096,1021.092945,993.0621366,615.9781482,383.7785114,331.2893271,398.7290404,598.6633067,395.2086213,207.7090431,678.9618995,518.180203,171.5092817,1859.985074,800.6582487,586.8267246,213.5425004,1056.374923,6713.328514,567.5878559,823.7878114,5889.540703,5493.911254,5298.876779,395.6294484,249711
1990-III ,10,8.16,815.3,3245.233333,8058.233706,5341.051616,1663.351152,421.0274913,1300.396692,3701.08146,996.5394741,982.2933743,619.8518929,382.3042435,335.0273215,376.0742523,603.0188925,397.1594423,210.4630186,676.2325871,514.5325203,172.9726709,1859.419698,793.551023,576.8300108,216.5776256,1062.929169,6738.747176,570.3542505,824.7479478,5914.136962,5535.094485,5337.446973,379.042477,250595
1990-IV ,10,7.743333333,822.2,3269.566667,7986.120598,5299.454548,1637.030488,409.3671791,1287.403963,3690.930935,932.1539324,954.2902041,608.0105314,365.0147929,332.8858,355.1940698,608.1471186,398.6155748,214.7986829,658.152942,499.1453648,170.5913835,1877.90086,800.4572276,587.5034559,213.0363166,1074.451653,6721.674271,565.4217098,818.1470452,5903.527226,5520.477583,5322.258955,383.0496435,251482
1991-I ,9.19,6.426666667,832.8666667,3309.733333,7947.827262,5284.235281,1622.831928,398.1296263,1287.844153,3693.561905,894.4769257,921.5627796,592.3025983,357.2083135,323.5782287,333.9949353,612.5298431,409.4514635,205.9417141,650.6120137,496.1367221,165.0284186,1885.584438,806.7196146,592.6783213,213.9985632,1075.876295,6678.380753,573.7649524,781.9152531,5896.4655,5486.517537,5284.449551,409.9479624,252258
1991-II ,8.666666667,5.863333333,849.5333333,3347.766667,8002.362321,5324.511319,1631.856632,400.0774561,1295.483936,3726.260444,890.8708743,920.1771292,586.6401342,347.4585575,323.1861521,341.8730624,634.6094093,418.8122552,220.4953736,662.1366553,504.2879885,168.6379977,1892.181473,809.062966,591.0363293,218.0201577,1080.107321,6718.92407,574.0708428,783.4583842,5935.465686,5522.32796,5319.651558,413.137726,253063
1991-III ,8.4,5.643333333,866.1333333,3360.2,8037.752941,5344.790806,1641.604283,406.2340103,1297.595825,3735.580659,914.5420476,923.1757982,581.0382599,324.8535871,328.390916,356.0182834,649.2512372,428.6648885,225.0549226,680.7629977,524.1711622,165.6960052,1883.225434,793.9143297,575.2318998,218.702064,1086.416744,6731.453235,576.2851852,783.3002518,5948.152983,5542.781782,5340.162788,405.5044161,253965
1991-IV ,7.596666667,4.816666667,887.5333333,3370.766667,8070.391565,5342.346156,1623.46669,399.6718924,1286.423674,3757.543486,950.5742412,924.8554913,577.9155792,318.2465024,328.793268,363.8896439,663.9839034,435.4390627,234.0004566,695.6948229,536.7090192,168.0946109,1875.425099,778.3057758,555.5969649,222.8340229,1094.209712,6790.255921,577.4121761,790.0174853,6000.3709,5553.436126,5349.705929,446.8023102,254835
1992-I ,6.5,4.023333333,924.1333333,3399.6,8154.348714,5433.986533,1660.11841,415.3413466,1305.578622,3810.101601,925.5620545,934.3746035,575.2851375,314.0016264,328.4322633,382.4717492,675.758653,445.6191063,235.0330358,700.5554109,544.2240519,164.498441,1889.494304,778.5149424,546.9082999,231.8875587,1108.322625,6876.671189,591.0246447,772.5338848,6104.005585,5651.549678,5453.312083,452.455907,255585
1992-II ,6.5,3.77,949.5333333,3401.6,8242.919433,5466.193934,1668.642625,418.221432,1311.015687,3834.490556,988.3056964,971.1155953,598.1693319,314.0474569,346.8497461,397.0277801,675.7716647,447.0404827,233.2540378,712.0706236,557.5768884,161.3784464,1887.295418,777.6911879,547.3217412,230.7334564,1106.963496,6948.710898,594.0736667,792.0545757,6156.656322,5688.28482,5490.95861,468.3715023,256439
1992-III ,6.006666667,3.256666667,975,3405.2,8329.683223,5526.748598,1686.843883,427.134421,1318.906691,3877.145776,999.8745595,985.9527922,610.3272498,316.9426938,355.4209666,397.9140117,690.4272382,460.1124109,234.1510628,723.2939268,568.9253176,160.6508952,1897.04424,786.6333669,554.7586966,232.0521037,1107.699188,7001.303611,596.7931169,800.2867944,6201.016817,5766.914353,5563.420675,434.1024638,257386
1992-IV ,6,3.036666667,1014.8,3429.4,8417.286703,5594.068964,1709.276454,435.6262492,1332.077436,3922.195425,1031.536554,1016.884907,628.8643502,321.307779,368.5247793,411.4463514,693.9409632,465.9564046,231.2045671,740.5694371,583.6676455,163.0334745,1897.510808,787.1345029,550.5498196,236.8583253,1107.851417,7117.543359,595.7535063,825.5774765,6292.095507,5827.910715,5633.73344,464.1847925,258277
1993-I ,6,3.04,1034.166667,3420.033333,8431.460964,5616.841943,1715.908727,439.8470242,1333.42395,3938.440163,1054.449112,1023.115509,633.1258372,313.5831889,375.3941198,413.3259155,695.5827797,461.3250087,238.5872861,756.7772307,599.6334937,162.5566445,1877.561775,762.9585645,528.8879865,234.3637047,1112.239342,6983.380572,602.2932234,791.8062355,6191.574337,5845.529503,5649.188354,346.0448338,259039
1993-II ,6,3,1062.866667,3435,8486.071602,5670.814811,1743.444214,454.0330869,1344.048105,3961.61957,1063.37599,1046.167168,650.1447392,313.411731,389.3217361,418.0919186,704.1010686,467.2182934,241.2221264,772.490995,613.1928424,164.4132104,1876.172335,752.1576525,521.071804,231.3916555,1121.831418,7111.170908,609.415443,821.7370134,6289.433895,5900.540734,5704.748725,388.765024,259826
1993-III ,6,3.06,1094.3,3451.566667,8530.015687,5732.436377,1761.438886,459.0931961,1357.345194,4005.896161,1062.076419,1064.908492,657.4864809,315.1297802,394.5344896,432.6521432,701.7732865,463.8485959,242.631754,782.6560035,620.9818666,166.924956,1874.376581,744.2549615,514.0907404,230.4742971,1128.0781,7133.237256,612.3021592,837.914015,6295.450777,5953.525743,5759.925519,341.9250341,260714
1993-IV ,6,2.99,1122.266667,3472.066667,8645.198944,5783.41392,1783.828576,470.1737135,1366.829075,4032.739956,1120.444399,1112.195786,685.1014801,320.9911305,414.4730467,454.4363933,724.1736205,485.5769231,242.0325823,813.851868,646.5667296,172.6752242,1883.484814,748.1469934,518.9510172,229.5216182,1133.418375,7243.706862,617.3873325,854.2681689,6389.56557,6007.155907,5812.398498,382.409663,261547
1994-I ,6.02,3.213333333,1136.033333,3482.5,8727.192429,5847.794377,1813.995533,481.3524959,1384.989335,4064.121674,1166.763562,1126.863903,691.8621773,307.6815618,426.1459828,464.1049968,731.0503214,485.652112,249.7975609,832.613804,662.2740328,175.6423473,1859.452825,721.3502776,492.9418088,228.6489435,1136.543242,7200.883281,628.8958991,846.8138801,6354.195584,6064.605678,5868.012618,289.5899054,262250
1994-II ,6.896666667,3.94,1143.166667,3492.133333,8845.955822,5891.005516,1830.070901,486.5422748,1395.97332,4090.728322,1234.153575,1153.919726,705.7843954,325.245583,429.4587257,479.5295893,755.102259,502.933101,256.4259187,863.5773062,691.463249,176.374878,1867.353874,717.1303646,493.2227336,224.3297717,1148.520228,7338.791707,635.9172705,873.1304861,6465.661221,6115.680685,5914.382228,349.9805357,263020
1994-III ,7.503333333,4.486666667,1151.033333,3494.366667,8905.844156,5938.263793,1847.079579,491.6921537,1408.012542,4120.537355,1214.643742,1165.386986,718.9689592,324.7321046,440.5610225,474.2425185,783.9571169,528.6041421,258.3164558,887.8524576,715.4463184,175.8093468,1900.047878,736.9286053,509.4597993,227.7793932,1161.378021,7394.855145,637.6123876,865.1348651,6529.72028,6184.815185,5976.898102,344.9050949,263870
